number,name,summer_period,summer_count,winter_period,winter_count,annual_count
1,"호텔 및 여관(객실수 20실이상), 관광진흥법에 의한 관광숙박업소",1,6,2,3,9
2,식품접객업소(연면적 300m² 이상),1,6,2,3,9
3,"고속버스,시내버스,시외버스,전세버스,장의자동차,항공법에의한 항공기,해운법에 의한 영객선 및 대합실(연면적 300m² 이상의 대합실에 한한다)및 철도법에 의한 여객운송차량 및 여객대합실",1,6,2,3,9
4,"유통산업발전법에의한 시장,대형점,백화점,쇼핑센터 및 도매센터",1,6,2,3,9
5,"종합병원,병원,치과병원 및 한방병원",1,6,2,3,9
6,1회 100인이상에게 계속적으로 식사를 제공하는 집단급식소,2,3,3,2,5
7,50인이상을 수용할 수 있는 기숙사 및 합숙소,2,3,3,2,5
8,공연장(300석이상),2,3,3,2,5
_8-2,"초·중등 교육법 제2조, 고등교육법 제2조의 규정에 의한 학교",2,3,3,2,5
9,"학원의 설립·운영 및 과외교습소에 의한 학원(연면적 1,000m² 이상)",2,3,3,2,5
10,연면적 2000m² 이상의 사무실용 건축물및 복합용도의 건축물,2,3,3,2,5
11,"영·유아보육법에 의한 영·유아보육시설 및 유아교육법에 의한 유치원(50인이상을 수용하는 영·유아보육시설 및 유치원의 경우에 한한다)",2,3,3,2,5
12,공동주택(300세대이상),3,2,6,1,3
